net,length_um
_06966_,216.46
_10581_,216.42
_12460_,216.28
_07236_,216.24
cpu_mem_rdata\[20\],216.15
_07421_,216.14
_12275_,216.1
_12685_,215.965
_06975_,215.82
_12626_,215.71
_06993_,215.68
cpu_mem_rdata\[11\],215.65
_07277_,215.585
net4690,215.54
_06179_,215.495
_05323_,215.44
_12759_,215.44
_12548_,215.36
_05931_,215.05
_12260_,215
u_cpu.pcpi_rs1\[29\],214.98
_12846_,214.86
_12453_,214.82
_12273_,214.74
_12741_,214.065
_14378_,214.05
_04691_,213.96
_06139_,213.87
net3828,213.82
_06024_,213.76
_04747_,213.54
_14570_,213.5
_07426_,213.44
_12633_,213.31
_12642_,213.31
_12766_,213.26
u_cpu.pcpi_rs2\[8\],213.19
_06519_,213.045
_12744_,212.9
_07356_,212.84
net2668,212.72
_07184_,212.68
_12729_,212.53
u_cpu.pcpi_rs2\[25\],212.32
_12698_,212.04
u_cpu.pcpi_rs2\[21\],211.96
_05327_,211.9
_12570_,211.9
_09826_,211.72
_12747_,211.63
_12329_,211.61
_12639_,211.46
net4352,211.44
_08206_,211.42
u_cpu.mem_la_wdata\[2\],211.42
net1115,211.26
_13847_,211.11
_00009_,211.04
_05915_,210.94
_06331_,210.86
_12463_,210.85
_10764_,210.7
cpu_mem_rdata\[24\],210.555
_07286_,210.51
_08923_,210.465
_13810_,210.36
_14047_,210.21
_08295_,210.03
_07255_,209.965
cpu_mem_rdata\[7\],209.92
_06299_,209.86
_07524_,209.86
_13754_,209.84
_12632_,209.82
_13035_,209.7
_08608_,209.62
_10586_,209.62
u_interconnect.s1_axi_rdata\[21\],209.47
net4765,209.12
_13038_,209.08
_10584_,209.02
_07506_,208.75
_12278_,208.64
_13867_,208.56
_08905_,208.505
_06296_,208.45
_09563_,208.43
_12270_,208.09
_09388_,207.91
_12746_,207.22
net4270,207.1
_13044_,207
_12652_,206.92
u_cpu.mem_la_wdata\[3\],206.86
_06413_,206.62
_12594_,206.58
net4897,206.57
_12743_,206.435
_05892_,206.31
_12470_,206.19
_08006_,206.12
_05315_,206.08
_07164_,206.055
u_cpu.is_slli_srli_srai,205.98
_12511_,205.79
cpu_mem_rdata\[22\],205.63
